ID программы;Форма обучения;Проходной балл бюджет;Проходной балл платное;Мест бюджет;Мест платное;Стоимость;Стоимость, за год;Когда;Срок обучения;График занятий
734986;Очная;;;;;86 400 р.;;по мере набора;5 месяцев, 252 ак. ч;-
745024;Дистанционная;;;;;7 950 р.;;в любое время;4 дня, 32 ак. ч;-
650133;Очная;;;;;18 900 р., 37 800 р.;;20 авг, 20 авг, 5 сен, 7 сен;8 недель, 92 ак. ч;Будни/Выходные
650133;Он-лайн;;;;;34 200 р.;;20 авг, 20 авг, 5 сен, 7 сен;7 недель, 92 ак. ч;Будни/Выходные
718704;Дистанционная;;;;;97 900 р.;;в любое время;250 ак. ч;-
718704;Онлайн-трансляция;;;;;55 500 р.;;21 сен, 21 сен, 26 окт, 30 ноя;40 ак. ч;5 дней онлайн-трансляции c 09.00 до 16.15
718704;Очная;;;;;139 900 р.;;26 окт, 26 окт, 30 ноя;250 ак. ч;15 дней очного обучения c 09.00 до 16.15
739704;Дистанционная;;;;;84 000 р.;;25 авг;7 месяцев;-
737253;Дистанционная;;;;;1 500 р.;;в любое время;1 неделя;-
740869;Дистанционная;;;;;3 000 р.;;по мере набора;48 дней, 72 ак. ч;-
744312;Онлайн курс на образовательной платформе МГУПП;;;;;2 500 р.;;9 сен, 11 сен;18 ак. ч;-
738695;Русскоязычные преподаватели;;;;;580 р.;;в любое время;1 ак. ч;-
738695;Носители английского языка;;;;;1 700 р.;;в любое время;1 ак. ч;-
650386;Вечерняя;;;;;43 500 р.;;21 сен;2 месяца, 72 ак. ч;2-3 раза в неделю по будним дням с 18:30 до 21:30
744546;Online;;;;;бесплатно;;-;1 день;-
730666;Дистанционная;;;;;270 000 р.;;-;18 месяцев;2–4 занятия в неделю
736821;Очно-заочная;;;;;29 000 р.;;по мере набора;144 ак. ч;-
740586;Дистанционная;;;;;3 400 р., 4 000 р.;;в любое время;9 дней, 72 ак. ч;свободный
740586;Дистанционная;;;;;4 300 р., 5 000 р.;;в любое время;14 дней, 112 ак. ч;свободный
736656;Дистанционная;;;;;65 900 р.;;5 сен;4 месяца;-
734985;Очная;;;;;101 760 р.;;по мере набора;8 месяцев, 252 ак. ч;2 раза в неделю с 18:30 до 21:00 часов
736621;Дистанционная;;;;;17 500 р.;;23 авг, 23 авг, 30 авг;4 месяца;-
705919;Дистанционная;;;;;29 990 р.;;24 авг;4 дня, 52 ак. ч;-
